Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
Aerocube 7A	Aerocube 7A	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	500	802	0.021506907847884917	64.6	97.4	2	2015-10-07T22:00:00Z		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	
Aerocube 8C	Aerocube 8C	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	569	584	0.0010796804145972792	97.9	96.2	5	2016-11-10T23:00:00Z		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	
Aerocube 8D	Aerocube 8D	USA	Aerospace Corporation	Commercial	Technology Development		LEO	0	572	584	8.635578583765112E-4	98	96.23	2	2016-11-10T23:00:00Z		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	
Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])	Eutelsat 48D	Multinational	EUTELSAT S.A.	Commercial	Communications		GEO	48	35764	35808	5.218711452699497E-4	0.12	1436.08	3460	2008-12-19T23:00:00Z	15	EADS Astrium	France	Guiana Space Center	Ariane 5	30 Ku-band transponders.
AII-Bravo	AII-Bravo	Lithuania	Aurora Insight	Commercial	Communications		LEO	0	609	613	2.8649190660363845E-4	97.8	95.8	9	2021-04-28T22:00:00Z		NanoAvionics	USA	Guiana Space Center	Vega W18	
AII-Charlie	AII-Charlie	Lithuania	Aurora Insight	Commercial	Communications		LEO	0	522	535	9.422338189461477E-4	97.5	95.2	9	2021-01-23T23:00:00Z		NanoAvionics	USA	Cape Canaveral	Falcon 9	Scann RF spectrum on Earth and detecting where different network technologies, including 5G, have been deployed.
AIM (Aeronomy of Ice in Mesosphere)	AIM	USA	Center for Atmospheric Sciences, Hampton University/NASA	Government	Earth Observation	Earth Science	LEO	0	544	552	5.782017924255566E-4	97.9	96.2	215	2007-04-24T22:00:00Z	2	Orbital Sciences Corp.	USA	Vandenberg AFB	Pegasus XL	Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.
AISSat-1 (Automatic Identification System Satellite-1)	AISSat-1	Norway	Norwegian Coastal Admnistration	Government	Communications	Automatic Identification System (AIS)	LEO	0	615	632	0.001215414313290913	98	97.2	6	2010-07-11T22:00:00Z	3	Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies	Canada	Satish Dhawan Space Centre	PSLV	Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.
AISSat-2 (Automatic Identification System Satellite-2)	AISSat-2	Norway	Norwegian Coastal Admnistration	Government	Communications	Automatic Identification System (AIS)	LEO	0	625	631	4.2869391254644185E-4	98.4	97.27	6	2014-07-07T22:00:00Z	3	Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies	Norway/Canada	Baikonur Cosmodrome	Soyuz-2.1b	Second in the series.
AISTechSat-2	AISTechSat-2	Spain	AISTech	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	0	574	592	0.0012944052926794189	97.8	96.4	2	2018-12-02T23:00:00Z		GomSpace ApS	Denmark	Vandenberg AFB	Falcon 9	First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.
