Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
Starlink-3257	Starlink-3257	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3258	Starlink-3258	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3259	Starlink-3259	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3260	Starlink-3260	USA	SpaceX	Commercial	Communications		LEO	0	299	300	7.496813854112003E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3261	Starlink-3261	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3262	Starlink-3262	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3263	Starlink-3263	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3264	Starlink-3264	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3265	Starlink-3265	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3266	Starlink-3266	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3267	Starlink-3267	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3268	Starlink-3268	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3269	Starlink-3269	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3270	Starlink-3270	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3271	Starlink-3271	USA	SpaceX	Commercial	Communications		LEO	0	351	353	1.487652484379649E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3272	Starlink-3272	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3273	Starlink-3273	USA	SpaceX	Commercial	Communications		LEO	0	354	356	1.4869888475836432E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3274	Starlink-3274	USA	SpaceX	Commercial	Communications		LEO	0	352	353	7.437709185570845E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3275	Starlink-3275	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3276	Starlink-3276	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3277	Starlink-3277	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3278	Starlink-3278	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3279	Starlink-3279	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3281	Starlink-3281	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3282	Starlink-3282	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3283	Starlink-3283	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3284	Starlink-3284	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3285	Starlink-3285	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3286	Starlink-3286	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3287	Starlink-3287	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3288	Starlink-3288	USA	SpaceX	Commercial	Communications		LEO	0	353	354	7.436602959767977E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3289	Starlink-3289	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3290	Starlink-3290	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3291	Starlink-3291	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3292	Starlink-3292	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3293	Starlink-3293	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3294	Starlink-3294	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3295	Starlink-3295	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3296	Starlink-3296	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3297	Starlink-3297	USA	SpaceX	Commercial	Communications		LEO	0	352	354	1.4874312063067083E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3298	Starlink-3298	USA	SpaceX	Commercial	Communications		LEO	0	352	353	7.437709185570845E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3299	Starlink-3299	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3300	Starlink-3300	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3301	Starlink-3301	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3302	Starlink-3302	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3303	Starlink-3303	USA	SpaceX	Commercial	Communications		LEO	0	338	340	1.4905351021016544E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3304	Starlink-3304	USA	SpaceX	Commercial	Communications		LEO	0	353	355	1.48720999405116E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3305	Starlink-3305	USA	SpaceX	Commercial	Communications		LEO	0	349	350	7.441029838529652E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3306	Starlink-3306	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3308	Starlink-3308	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3309	Starlink-3309	USA	SpaceX	Commercial	Communications		LEO	0	352	354	1.4874312063067083E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3310	Starlink-3310	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3311	Starlink-3311	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3312	Starlink-3312	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3313	Starlink-3313	USA	SpaceX	Commercial	Communications		LEO	0	355	356	7.43439149505613E-5	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3314	Starlink-3314	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3315	Starlink-3315	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3316	Starlink-3316	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3317	Starlink-3317	USA	SpaceX	Commercial	Communications		LEO	0	349	351	1.4880952380952382E-4	53.2	91.5	260	2021-12-17T23:00:00Z	4	SpaceX	USA	Vandenberg AFB	Falcon 9	
Starlink-3318	Starlink-3318	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3319	Starlink-3319	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3320	Starlink-3320	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3321	Starlink-3321	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3322	Starlink-3322	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3323	Starlink-3323	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3324	Starlink-3324	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3325	Starlink-3325	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3326	Starlink-3326	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3327	Starlink-3327	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3328	Starlink-3328	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3329	Starlink-3329	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3330	Starlink-3330	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3331	Starlink-3331	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3332	Starlink-3332	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3333	Starlink-3333	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3334	Starlink-3334	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3335	Starlink-3335	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3336	Starlink-3336	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3337	Starlink-3337	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3338	Starlink-3338	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3339	Starlink-3339	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3340	Starlink-3340	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3341	Starlink-3341	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3342	Starlink-3342	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3343	Starlink-3343	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3344	Starlink-3344	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3346	Starlink-3346	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3347	Starlink-3347	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3348	Starlink-3348	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3349	Starlink-3349	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3350	Starlink-3350	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3352	Starlink-3352	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3353	Starlink-3353	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3354	Starlink-3354	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3355	Starlink-3355	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-05T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3356	Starlink-3356	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3357	Starlink-3357	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3358	Starlink-3358	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3359	Starlink-3359	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3360	Starlink-3360	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3361	Starlink-3361	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3362	Starlink-3362	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3363	Starlink-3363	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3364	Starlink-3364	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3365	Starlink-3365	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3366	Starlink-3366	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3368	Starlink-3368	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3369	Starlink-3369	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3370	Starlink-3370	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3372	Starlink-3372	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3373	Starlink-3373	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3374	Starlink-3374	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3375	Starlink-3375	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3386	Starlink-3386	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3387	Starlink-3387	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3388	Starlink-3388	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3389	Starlink-3389	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3390	Starlink-3390	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3391	Starlink-3391	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3392	Starlink-3392	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3393	Starlink-3393	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3394	Starlink-3394	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3395	Starlink-3395	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3396	Starlink-3396	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3397	Starlink-3397	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3398	Starlink-3398	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
Starlink-3399	Starlink-3399	USA	SpaceX	Commercial	Communications		LEO	0	348	351	2.232308951558896E-4	53.2	91.5	260	2022-01-18T23:00:00Z	4	SpaceX	USA	Cape Canaveral	Falcon 9	
